fecha,edad,ActGrales,ActFyDep,OfCultEnt,VidaNoct
21/7/2025 8:56:40,50 a 64,"Asistencia a espectáculos (música, teatro, etc.), Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Buena
21/7/2025 9:02:14,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Muy activa y divertida
21/7/2025 18:09:53,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Consumir Gastronomía Regional",Natación / pileta,Muy variada y de calidad,Buena
21/7/2025 18:17:08,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,No me interesaba,Muy activa y divertida
21/7/2025 19:11:54,65 o más,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Poca variedad,Poco atractiva
21/7/2025 19:33:05,30 a 49,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
25/7/2025 19:31:20,30 a 49,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
25/7/2025 19:44:25,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
23/8/2025 10:31:46,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional","Caminatas / senderismo, Bochas",Muy variada y de calidad,Regular
23/8/2025 11:18:27,50 a 64,"Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Poca variedad,No salí de noche
30/5/2025 9:36:52,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Regular
4/6/2025 0:26:25,30 a 49,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional","Caminatas / senderismo, Bicicleta, Golf, Bochas, Natación / pileta",Muy variada y de calidad,Muy activa y divertida
22/6/2025 21:47:12,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Poca variedad,Regular
18/7/2025 12:36:44,30 a 49,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
19/7/2025 18:10:43,18 a 29,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",No salí de noche
8/11/2025 9:38:31,30 a 49,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Natación / pileta","Buena, aunque puede mejorar",Muy activa y divertida
8/11/2025 9:41:06,18 a 29,Salidas nocturnas / bares / casino,Natación / pileta,Muy variada y de calidad,Muy activa y divertida
8/11/2025 9:48:38,50 a 64,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
8/11/2025 9:51:42,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Buena
8/11/2025 9:54:17,65 o más,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Poca variedad,Buena
8/11/2025 9:58:19,65 o más,"Baños termales / Spa, Salidas nocturnas / bares / casino",Caminatas / senderismo,Muy variada y de calidad,Buena
8/11/2025 10:19:51,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Natación / pileta,Muy variada y de calidad,Buena
8/11/2025 10:22:05,65 o más,Baños termales / Spa,Bochas,"Buena, aunque puede mejorar",Buena
8/11/2025 10:25:34,30 a 49,"Baños termales / Spa, Consumir Gastronomía Regional",Bochas,"Buena, aunque puede mejorar",Buena
8/11/2025 10:28:33,18 a 29,"Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Buena
8/11/2025 10:30:47,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino",Natación / pileta,"Buena, aunque puede mejorar",Muy activa y divertida
8/11/2025 10:38:40,18 a 29,"Baños termales / Spa, Visita a museos o espacios culturales",Natación / pileta,Poca variedad,Regular
